Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Alagoas,São Miguel Dos Milagres,2648,51.97,2447,48.03
Alagoas,São Sebastião,13701,74.82,4612,25.18
Alagoas,Satuba,4646,48.3,4973,51.7
Alagoas,Senador Rui Palmeira,5282,84.07,1001,15.93
Alagoas,Tanque D'Arca,3053,83.37,609,16.63
Alagoas,Taquarana,7751,78.06,2178,21.94
Alagoas,Teotônio Vilela,12904,64.63,7062,35.37
Alagoas,Traipu,9934,80.73,2371,19.27
Alagoas,União Dos Palmares,19944,62.68,11875,37.32
Alagoas,Viçosa,9237,65.06,4960,34.94
Amapá,Amapá,2785,62.61,1663,37.39
Amapá,Calçoene,3200,61.7,1986,38.3
Amapá,Cutias,1844,59.64,1248,40.36
Amapá,Ferreira Gomes,2153,53.62,1862,46.38
Amapá,Itaubal,2366,53.61,2047,46.39
Amapá,Laranjal Do Jari,11222,60.6,7296,39.4
Amapá,Macapá,102810,45.08,125261,54.92
Amapá,Mazagão,8466,63.02,4967,36.98
Amapá,Oiapoque,8150,64.71,4444,35.29
Amapá,Pedra Branca Do Amapari,3590,55.69,2856,44.31
Amapá,Porto Grande,5120,55.46,4112,44.54
Amapá,Pracuúba,1269,54.28,1069,45.72
Amapá,Santana,27693,43.89,35397,56.11
Amapá,Serra Do Navio,1026,39.94,1543,60.06
Amapá,Tartarugalzinho,3764,57.73,2756,42.27
Amapá,Vitória Do Jari,4460,68.62,2040,31.38
Amazonas,Alvarães,5978,73.99,2102,26.01
Amazonas,Amaturá,3880,76.65,1182,23.35
Amazonas,Anamã,3733,64.54,2051,35.46
Amazonas,Anori,4010,56.91,3036,43.09
Amazonas,Apuí,2809,36.32,4924,63.68
Amazonas,Atalaia Do Norte,4660,80.4,1136,19.6
Amazonas,Autazes,12283,64.35,6806,35.65
Amazonas,Barcelos,4616,65.02,2483,34.98
Amazonas,Barreirinha,14079,91.39,1327,8.61
Amazonas,Benjamin Constant,13370,83.6,2623,16.4
Amazonas,Beruri,5381,63.02,3158,36.98
Amazonas,Boa Vista Do Ramos,7837,87.97,1072,12.03
Amazonas,Boca Do Acre,7050,45.34,8499,54.66
Amazonas,Borba,12371,79.04,3281,20.96
Amazonas,Caapiranga,3988,66.82,1980,33.18
Amazonas,Canutama,3539,54.53,2951,45.47
Amazonas,Carauari,10998,78.93,2936,21.07
Amazonas,Careiro,9949,64.11,5570,35.89
Amazonas,Careiro Da Várzea,6982,62.53,4183,37.47
Amazonas,Coari,19841,60.73,12829,39.27
Amazonas,Codajás,6403,60.35,4206,39.65
Amazonas,Eirunepé,10435,74.07,3653,25.93
Amazonas,Envira,5064,71.98,1971,28.02
Amazonas,Fonte Boa,8421,77.25,2480,22.75
Amazonas,Guajará,2891,39.61,4407,60.39
Amazonas,Humaitá,12406,53.15,10935,46.85
Amazonas,Ipixuna,4833,68.1,2264,31.9
Amazonas,Iranduba,15304,54.86,12590,45.14
Amazonas,Itacoatiara,31621,63.97,17807,36.03
Amazonas,Itamarati,3678,76.88,1106,23.12
Amazonas,Itapiranga,3538,59.02,2457,40.98
Amazonas,Japurá,1774,61.13,1128,38.87
Amazonas,Juruá,2870,61.44,1801,38.56
Amazonas,Jutaí,6872,75.57,2222,24.43
Amazonas,Lábrea,11683,65.18,6242,34.82
Amazonas,Manacapuru,28386,54.53,23667,45.47
Amazonas,Manaquiri,6562,69.31,2906,30.69
Amazonas,Manaus,437691,38.72,692580,61.28
Amazonas,Manicoré,15172,65.32,8056,34.68
Amazonas,Maraã,3785,72.54,1433,27.46
Amazonas,Maués,21003,85.02,3701,14.98
Amazonas,Nhamundá,8939,85.98,1457,14.02
Amazonas,Nova Olinda Do Norte,10114,79.1,2673,20.9
Amazonas,Novo Airão,4166,52.78,3727,47.22
Amazonas,Novo Aripuanã,6747,76.22,2105,23.78
Amazonas,Parintins,41689,82.56,8809,17.44
Amazonas,Pauini,4838,68.38,2237,31.62
Amazonas,Presidente Figueiredo,9038,53.25,7935,46.75
Amazonas,Rio Preto Da Eva,6752,52.61,6081,47.39
Amazonas,Santa Isabel Do Rio Negro,3703,73.94,1305,26.06
Amazonas,Santo Antônio Do Içá,8849,73.75,3150,26.25
Amazonas,São Gabriel Da Cachoeira,17090,80.64,4103,19.36
Amazonas,São Paulo De Olivença,11922,84.24,2231,15.76
Amazonas,São Sebastião Do Uatumã,2546,52.77,2279,47.23
Amazonas,Silves,4771,81.53,1081,18.47
Amazonas,Tabatinga,17368,66.93,8582,33.07
Amazonas,Tapauá,4648,53.95,3967,46.05
Amazonas,Tefé,20281,64.22,11300,35.78
Amazonas,Tonantins,6307,82.93,1298,17.07
